Microsoft Corporation,Unnamed: 1,Back to Main,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Unearned Revenue,,,,,,,,,,,
,,,,,,,,,,,
,,Q4-14,Q1-15,Q2-15,Q3-15,Q4-15,Q1-16,Q2-16,Q3-16,Q4-16,Q1-17
,,,,,,,,,,,
Unearned Revenue ($ in millions),,,,,,,,,,,
Productivity and Business Processes,,11412,10267,9779,9346,11671,10739,10125,9650,12497,11486
Intelligent Cloud,,9812,8826,8373,7980,10346,9291,8811,8658,11472,10322
More Personal Computing,,3934,3445,3091,2872,3301,3082,3129,2998,3334,3298
Corporate and Other,,0,0,0,0,0,1275,2966,4587,6606,8482
      Total,,25158,22538,21243,20198,25318,24387,25031,25893,33909,33588
,,,,,,,,,,,
Unearned Revenue (in %),,,,,,,,,,,
Productivity and Business Processes,,0.45,0.46,0.46,0.46,0.46,0.44,0.4,0.37,0.37,0.34
Intelligent Cloud,,0.39,0.39,0.39,0.4,0.41,0.38,0.35,0.33,0.34,0.31
More Personal Computing,,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.12,0.1,0.1
Corporate and Other,,0,0,0,0,0,0.05,0.12,0.18,0.19,0.25
      Total,,1,1,1,1,1,1,1,1,1,1
